smiles,synthon_id,synthon_number,bb_id
COC(=O)C1=CSC(N)=C1,9348840,1,EN300-108008
COC(=O)C(C)CC=1C=CC(N)=CC1,9348842,1,EN300-135694
Cl.COC(=O)C1(CN)CCOCC1,9348844,1,EN300-130535
Cl.COC(=O)C1(CN)CCCCC1,9348848,1,EN300-133816
Cl.CCOC(=O)C=1C=CN(N1)C=2C=CC=C(CN)C2,9609166,1,EN300-194295
Cl.COC(=O)C1=CC=2C=C(N)C=CC2O1,9748266,1,EN300-42006
Cl.CCOC(=O)CC(N)C=1C=CC=CC1OC,9748296,1,EN300-56049
Cl.CCOC(=O)CC(N)C=1C=CC=CC1,9748298,1,EN300-56135
CCOC(=O)C(N)CC=C,9748392,1,EN300-134466
Cl.COC(=O)[C@H](CC(C)C)NC(=O)CN,9748466,1,EN300-125461
Cl.COC(=O)C(C)(CN)C=1C=CC=CC1,10178634,1,EN300-172475
Cl.COC(=O)CC1COCCN1,10212116,1,EN300-213014
CCOC(=O)C=1C=NN(C1C)C=2C=CC(N)=CC2,10719878,1,EN300-36155
COC(=O)C1=CN(N=N1)C=2C=CC=C(N)C2,10719880,1,EN300-36752
CCOC(=O)C=1C=NN(C1C)C=2C=CC=C(N)C2,10719882,1,EN300-36830
Cl.COC(=O)C1(CN)CC1,10719886,1,EN300-154111
CCOC(=O)C(C)C(C)N,10719888,1,EN300-134256
Cl.COCC(N)C(=O)OC,10719900,1,EN300-127592
Cl.COC(=O)C(N)CC1CCCCC1,10719906,1,EN300-179074
Cl.Cl.COC(=O)CN1N=C(C)C(CN)=C1C,10719922,1,EN300-117499
CCOC(=O)C1(CCNC1)C(C)C,10720000,1,EN300-179802
Cl.COC(=O)C(CN)C=1C=CC(F)=CC1,10720002,1,EN300-181517
CCOC(=O)C1(COC)CCCNC1,10720012,1,EN300-195305
"Cl.CCOC(=O)[C@@H]1CCC[C@@H]1N |&1:6,10,r|",10865832,1,EN300-247016
Cl.CCOC(=O)[C@H](N)C=1C=CC=CC1,10887666,1,EN300-395737
COC(=O)C=1C=CC(N)=CC1OC,10887668,1,EN300-180486
COC(=O)C=1C=CC(N)=C(OC)C1,10887680,1,EN300-122300
Cl.COC(=O)C(CN)C1CCOCC1,10887682,1,EN300-72367
CCOC(=O)C(C)NC(=O)C=1C=CC(N)=CC1,10887694,1,EN300-93270
Cl.COC(=O)C=1C=CC=CC1CC2CCNCC2,10887714,1,EN300-212342
Cl.COC(=O)C(N)C=1C=CC(OC)=CC1,10887718,1,EN300-226839
Cl.COC(=O)C1(CCNC1)C(F)(F)F,10887722,1,EN300-199574
Cl.CCOC(=O)C(N)C=1C=CC(OC)=C(Br)C1,10887728,1,EN300-127812
Cl.COC(=O)C[C@@H](N)C=1C=CC=C2C=CC=CC12,10887734,1,EN300-213823
Cl.COC(=O)COC=1C=CC(=CC1)C(C)N,10887742,1,EN300-138841
Cl.COC(=O)C(N)C=1C=CC(F)=C(C)C1,10887744,1,EN300-140009
Cl.COC(=O)C(N)C=1C=C(C)C=C(C)C1,10887748,1,EN300-140188
Cl.COC(=O)C(N)C=1C=CC(OC)=C(Cl)C1,10887752,1,EN300-141217
Cl.CCOC(=O)C(N)C=1C=CC=C(C)C1C,10887754,1,EN300-141446
Cl.COC(=O)C=1C=CC(=CC1)C(N)C(F)(F)F,10887756,1,EN300-142359
Cl.CCOC(=O)C(N)C=1C=CC(OC)=C(F)C1,10887758,1,EN300-142612
Cl.COC(=O)C1CCNC1C,10887766,1,EN300-172357
Cl.CCCC(CN)C(=O)OCC,10887778,1,EN300-187901
Cl.CCOC(=O)C(N)CC=1C=CC=C(Cl)C1,10887780,1,EN300-196161
Cl.COC(=O)C1=CN(CCN)N=N1,10887784,1,EN300-197475
Cl.COC(=O)C(N)CC1=CNC=2C=CC(Br)=CC12,10887790,1,EN300-205566
Cl.CCOC(=O)C=1C=NN(C2CCNCC2)C1C,10887794,1,EN300-207600
"Cl.COC(=O)[C@@H]1CNC[C@@H]1C=2C=CC=CC2 |&1:5,9,r|",10894774,1,EN300-248381
Cl.COC(=O)C(N)CC1CC1,10972362,1,EN300-252807
Cl.COC(=O)C(C)C=1C=CC=C(N)C1,10972372,1,EN300-253294
Cl.COC(=O)[C@H]1C[C@@H](N)C1,10972432,1,EN300-61439
COC(=O)C(C)C=1C=CC(N)=CC1,10972456,1,EN300-253652
COC(=O)C1(C)CCCNC1,10973756,1,EN300-254661
Cl.COC(=O)CC(N)CC=1C=C(F)C(F)=CC1F,10976842,1,EN300-255216
Cl.CCC(CN)(C(=O)OC)C=1C=CC=CC1,10977758,1,EN300-255122
COC(=O)CC=1C=CC(N)=CC1F,11356352,1,EN300-251499
Cl.COC(=O)C1=CC=C(CN)S1,11356418,1,EN300-256195
"Cl.COC(=O)[C@@H]1CNC[C@H]1C=2C=CC(F)=CC2F |&1:5,9,r|",11505360,1,EN300-258033
Cl.COC(=O)C1(CCNC1)C=2C=CC=CC2,11555762,1,EN300-220279
Cl.COC(=O)C1=CN(N=N1)C2CCCNC2,11555766,1,EN300-136798
Cl.COC(=O)C(CN)OC=1C=CC(Br)=CC1,11555804,1,EN300-205976
CCC(C)CC(N)C(=O)OC,11577810,1,EN300-258704
Cl.COC(=O)C(CN)CC1CC1,11730498,1,EN300-74421
Cl.COC(=O)C1=COC(CN)=N1,11730500,1,EN300-257231
"Cl.COC(=O)[C@@H]1CNC[C@H](C)O1 |&1:5,9,r|",11730506,1,EN300-264480
Cl.Cl.CCOC(=O)C1=CN(CCN)C=N1,11757928,1,EN300-192243
"Cl.COC(=O)[C@@H]1CNC[C@@H](C1)C(F)(F)F |&1:5,9,r|",11955370,1,EN300-267523
Cl.COC(=O)C(N)C=1C=CC=C(OC)C1,11981832,1,EN300-237454
Cl.COC(=O)C=1C=CC=2CCCC(CN)C2C1,11981926,1,EN300-300820
Cl.COC(=O)C=1OC=CC1CN,12065402,1,EN300-301442
COC(=O)C(C)(C)N1C=CC(N)=N1,12065430,1,EN300-268099
Cl.COC(=O)CC(CN)C1CC1,12065438,1,EN300-268629
CCOC(=O)CC1CCNCC1,12102674,1,EN300-30459
Cl.COC(=O)C1=CN(N=N1)C2CCNCC2,12102702,1,EN300-135483
Cl.COC(=O)C=1C=CC(CN)=C(F)C1,12119856,1,EN300-305190
COC(=O)C(C)(C)N1C=C(N)C=N1,12119904,1,EN300-108230
CCOC(=O)C1(C)CCCC1N,12120546,1,EN300-305195
Cl.COC(=O)CC1(CN)CCCCC1,12140062,1,EN300-140577
Cl.CCOC(=O)C(N)C=1C=CC(Cl)=CC1,12155296,1,EN300-34572
Cl.CCOC(=O)C(N)C=1C(C)=NN(C1C)C=2C=CC(F)=CC2,12155300,1,EN300-29495
Cl.COC(=O)CNS(=O)(=O)C=1C=CC=C(N)C1,12155310,1,EN300-41108
Cl.CCOC(=O)CC(C1CCNCC1)C=2C=CC=CC2,12155312,1,EN300-43655
Cl.COC(=O)C(CN)CC=1C=CC(F)=CC1,12155318,1,EN300-54702
COC(=O)C=1C=CC(N)=C(OCC(F)(F)F)C1,12155326,1,EN300-68164
Cl.CCOC(=O)CC1CCCN1,12155330,1,EN300-67675
Cl.COC(=O)C=1C=CC=2CNCC2C1,12155334,1,EN300-71309
Cl.CCOC(=O)CCNC,12155360,1,EN300-178301
Cl.COC(=O)C(N)CC#C,12155362,1,EN300-250912
Cl.COC(=O)C1(C)CNC1,12155370,1,EN300-257107
COC(=O)C1=CC(N)=C(C)S1,12155390,1,EN300-116908
Cl.COC(=O)C=1C=CC=C2CNCCC12,12155398,1,EN300-209309
CCOC(=O)C=1C=C(N)C=C(COC)C1,12155400,1,EN300-211590
COC(=O)C=1C=C(Br)C=C(N)C1C,12155410,1,EN300-255346
COC(=O)C=1C=CC(OCC=2C=CC=CC2)=C(N)C1,12155412,1,EN300-109558
Cl.COC(=O)C1=CN(N=N1)C2CCNC2,12155424,1,EN300-136081
Br.CCOC(=O)C1=CSC(=N1)C2CCNCC2,12155436,1,EN300-179786
Cl.COC(=O)CC1(CN)CCOCC1,12155440,1,EN300-204474
Cl.COC(=O)C1=CN=C(S1)C(C)N,12155452,1,EN300-257316
"COC(=O)[C@@]12CNC[C@H]2CCCC1 |&1:4,8,r|",12155454,1,EN300-267236
Cl.COC(=O)C=1SC=2CNCC2C1Br,12155456,1,EN300-309513
COC(=O)CC(C)N1CCNCC1,12191932,1,EN300-96950
COC(=O)C(N)CC=1C=CC=C(OC)C1,12231950,1,EN300-312871
Cl.COC(=O)C1=CN=C(S1)C2CCNCC2,12231962,1,EN300-312802
Cl.CCOC(=O)CCCCCCCCCCCN,12231994,1,EN300-313592
COC(=O)C=1C=CC(N)=C(OCC(F)F)C1,12231998,1,EN300-313434
COC(=O)C(C)OC=1C=CC(N)=CC1F,12232028,1,EN300-311633
Cl.CCOC(=O)C1=CCC(N)C1,12232098,1,EN300-315839
COC(=O)C=1C=CC(C#CC=2C=CC=CC2N)=CC1,12237922,1,EN300-310691
Cl.COC(=O)COCCN,12300420,1,EN300-157099
Cl.COC(=O)C(CN)C1CCCCC1,12300460,1,EN300-315825
CCOC(=O)C=1C=CN(N1)C=2C=CC(N)=CC2F,12311372,1,EN300-312355
COC(=O)C=1C=C(N)C(C)=CC1Br,12330356,1,EN300-210691
"COC(=O)[C@@]1(C)CNC[C@@H]1C |&1:4,9,r|",12366278,1,EN300-332010
CCOC(=O)C(CC)(CC)CN,12426944,1,EN300-332872
Cl.CCOC(=O)C=1N=NN(C2CCNCC2)C1C(F)F,12432066,1,EN300-335933
"COC(=O)[C@@H]1C[C@H]1C=2C=CC(N)=CC2 |&1:4,6,r|",12433652,1,EN300-343098
Cl.COC(=O)C1=COC(CN)=C1,12522510,1,EN300-344568
Cl.CCOC(=O)C1(C)CNCCO1,12531786,1,EN300-343978
Cl.COC(=O)CNC(=O)CN,12546644,1,EN300-192601
COC(=O)C=1C=CC(N)=CN1,12619758,1,EN300-93620
"Cl.COC(=O)[C@@H]1OCC[C@@H]1CN |&1:5,9,r|",12626714,1,EN300-358940
Cl.CCOC(=O)CSC(CN)C(F)(F)F,12636774,1,EN300-349314
COC(=O)C=1C=C(N)C=C2C=CC=CC12,12639754,1,EN300-179866
CCOC(=O)/C=C/C=1C=CC(N)=CC1,12640176,1,EN300-364764
Cl.COC(=O)CC(N)C=1C=CC=C(C)C1,12642892,1,EN300-365298
